Title:,Cancelled from the Airline Performance - Arrivals Database,,,,,,,,,,,
SubTitle:,Airline,,,,,,,,,,,
Time:,01/01/2010 - 08/31/2021,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"Bureau of Transportation Statistics, Bureau of Transportation Statistics  (2021-11-25). Cancelled: Cancelled | American Airlines Inc.: AA, American Eagle Airlines Inc.: MQ, Delta Air Lines Inc.: DL, United Air Lines Inc.: UA, 01/01/2010 - 08/31/2021. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  007-001-007 doi:https://doi.org/10.6068/DP17D6D230C7543",,,,,,,,,,,
ColumnCount:,13,,,,,,,,,,,
RowCount:,4231,,,,,,,,,,,
,,,,,,,,,,,,
Time,American Airlines Inc.: AA,American Airlines Inc.: AA,American Airlines Inc.: AA,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,American Eagle Airlines Inc.: MQ,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,Delta Air Lines Inc.: DL,United Air Lines Inc.: UA,United Air Lines Inc.: UA,United Air Lines Inc.: UA
5/28/2013,0,0,0,0,1,0,0,0,0,0,0,0
5/29/2013,0,0,1,0,0,1,0,0,0,1,0,0
5/30/2013,3,0,0,1,3,0,0,0,0,0,0,1
5/31/2013,0,1,0,1,2,0,0,0,0,1,0,0
6/1/2013,0,0,0,0,0,0,0,0,1,0,0,0
6/2/2013,0,0,0,3,8,3,3,2,1,1,0,8
6/3/2013,0,0,0,0,4,2,0,0,0,1,0,0
6/4/2013,0,0,0,0,1,0,0,0,0,0,0,2
6/5/2013,0,0,0,0,0,0,0,0,1,0,1,0
6/6/2013,0,0,1,0,0,1,0,0,1,0,0,0
6/7/2013,2,0,0,0,7,0,1,0,0,2,0,0
6/8/2013,0,1,0,1,2,1,0,0,1,0,0,1
6/9/2013,0,0,0,0,0,0,0,0,0,0,0,1
6/10/2013,1,0,0,2,9,0,0,1,0,0,0,1
6/11/2013,1,0,0,0,1,0,0,0,0,0,0,1
6/12/2013,3,0,1,0,1,2,0,0,0,1,0,3
6/13/2013,2,0,0,5,16,2,0,0,4,1,0,1
6/14/2013,1,0,1,2,3,2,1,1,1,0,0,0
6/15/2013,1,0,0,0,0,0,0,0,0,0,0,0
6/16/2013,0,1,0,0,0,0,0,0,0,0,0,0
6/17/2013,1,0,0,0,1,0,0,0,0,1,0,0
6/18/2013,3,0,2,6,7,1,1,0,0,1,0,4
6/19/2013,0,0,1,0,3,0,0,0,0,2,0,0
6/20/2013,0,0,0,0,0,0,0,0,0,1,0,1
6/21/2013,2,0,0,0,0,1,0,0,0,1,0,1
6/22/2013,1,1,0,0,0,0,1,0,0,0,0,0
6/23/2013,0,0,0,1,0,0,0,1,0,0,0,1
6/24/2013,4,0,0,6,15,2,0,0,2,1,0,2
6/25/2013,3,1,0,1,5,3,0,1,0,0,0,2
6/26/2013,6,0,0,2,9,2,1,0,0,2,0,4
6/27/2013,6,1,1,3,12,2,0,0,2,3,0,4
6/28/2013,7,0,1,6,11,1,1,1,2,1,0,6
6/29/2013,0,0,0,0,1,0,0,1,1,1,0,2
6/30/2013,4,1,1,5,12,0,0,2,4,1,1,2
7/1/2013,5,1,0,6,9,2,0,0,0,1,0,2
7/2/2013,0,0,1,2,1,0,0,0,0,0,0,2
7/3/2013,0,1,0,1,2,0,0,0,1,0,0,1
7/4/2013,1,0,0,0,1,0,0,0,0,0,0,0
7/5/2013,0,0,1,1,0,0,0,0,0,0,0,0
7/6/2013,0,3,1,0,1,0,1,0,0,1,2,6
7/7/2013,0,1,0,0,4,2,0,0,16,2,0,2
7/8/2013,1,0,1,0,4,1,1,0,4,1,0,3
7/9/2013,1,0,0,0,3,1,0,0,1,0,0,1
7/10/2013,19,4,3,3,16,4,2,0,3,4,1,6
7/11/2013,2,4,1,3,3,0,0,0,0,1,0,5
7/12/2013,1,0,0,2,2,1,0,0,0,0,0,4
7/13/2013,0,0,0,1,1,0,0,0,1,0,0,1
7/14/2013,0,0,0,2,0,1,0,0,0,0,0,2
7/15/2013,1,0,0,0,0,1,0,0,1,0,0,0
7/16/2013,2,0,1,0,1,0,0,0,1,0,0,1
7/17/2013,0,0,0,0,0,0,0,0,1,2,0,0
7/18/2013,1,1,1,2,0,0,0,0,0,1,0,2
7/19/2013,1,0,1,1,3,0,0,0,0,1,0,2
7/20/2013,0,0,0,0,0,0,0,0,0,1,0,0
7/21/2013,1,1,0,0,3,1,1,0,1,0,1,0
7/22/2013,20,0,1,2,19,2,0,0,11,6,0,2
7/23/2013,3,0,0,2,10,1,1,0,3,0,0,3
7/24/2013,0,0,1,2,0,0,0,0,0,1,0,0
7/25/2013,1,0,0,1,2,0,1,0,0,0,0,0
7/26/2013,2,0,0,0,0,0,0,1,0,0,0,0
7/27/2013,0,0,1,1,0,0,0,0,0,0,0,1
7/28/2013,3,0,0,0,7,2,0,0,1,2,0,0
7/29/2013,1,0,0,0,2,0,0,0,1,1,0,3
7/30/2013,3,1,0,1,0,0,0,0,0,0,0,1
7/31/2013,0,0,0,0,1,0,0,0,0,0,0,0
8/1/2013,1,0,1,2,7,2,1,0,1,1,0,0
8/2/2013,1,0,0,2,1,1,0,0,1,0,0,0
8/3/2013,2,0,0,0,0,0,0,0,0,0,0,1
8/4/2013,0,0,1,0,0,0,0,0,0,0,0,0
8/5/2013,0,0,0,0,0,0,0,0,1,0,0,1
8/6/2013,0,0,0,0,1,0,0,0,0,0,0,1
8/7/2013,0,0,0,0,1,0,0,0,0,1,0,0
8/8/2013,1,0,0,1,11,1,0,0,0,1,0,0
8/9/2013,3,0,1,2,11,1,0,0,0,0,0,0
8/10/2013,0,0,0,0,0,0,0,0,0,0,0,1
8/11/2013,0,1,1,0,1,0,0,0,0,0,0,1
8/12/2013,0,0,0,1,3,2,0,0,0,1,0,0
8/13/2013,3,0,1,1,9,1,0,0,1,1,0,1
8/14/2013,1,1,1,0,0,0,0,0,0,0,0,1
8/15/2013,0,0,0,0,0,1,0,0,0,0,0,1
8/16/2013,2,0,0,0,0,0,0,0,0,0,0,0
8/17/2013,0,0,0,0,3,0,0,0,0,0,0,1
8/18/2013,0,0,0,0,3,1,0,0,1,0,0,0
8/19/2013,0,1,0,0,1,0,0,0,0,0,0,0
8/20/2013,0,0,0,0,2,0,0,0,0,0,0,2
8/21/2013,1,0,0,0,0,0,0,0,0,0,0,0
8/22/2013,1,0,0,2,4,2,0,0,0,0,0,2
8/23/2013,0,0,0,0,1,0,0,0,0,0,0,1
8/24/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/25/2013,0,0,0,0,0,0,0,0,0,0,0,0
8/26/2013,0,0,0,0,2,0,0,0,0,0,0,0
8/27/2013,0,0,0,0,4,0,0,0,0,0,0,1
8/28/2013,1,0,0,4,7,2,0,0,1,0,0,1
8/29/2013,0,0,0,0,1,0,0,0,0,0,0,0
8/30/2013,2,0,0,2,0,0,0,0,0,0,0,2
8/31/2013,0,0,0,0,1,0,0,0,0,0,0,0
9/1/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2013,3,0,0,3,14,2,0,0,0,4,0,0
9/3/2013,0,0,0,0,2,0,0,0,0,1,0,1
9/4/2013,0,0,0,0,1,0,0,0,0,0,0,0
9/5/2013,0,0,0,1,0,1,0,0,0,0,0,1
9/6/2013,0,0,0,0,1,0,0,0,0,0,0,0
9/7/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/8/2013,1,0,0,1,0,1,0,0,0,0,0,0
9/9/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/10/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/11/2013,0,0,0,0,5,0,0,0,0,1,0,2
9/12/2013,14,3,2,9,23,3,2,0,7,8,0,7
9/13/2013,1,1,0,1,0,0,0,1,0,0,0,2
9/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2013,0,0,0,1,1,0,0,0,0,0,0,0
9/16/2013,0,0,0,0,0,0,0,0,0,0,0,2
9/17/2013,0,0,0,0,1,0,0,0,0,0,0,0
9/18/2013,0,0,0,0,1,0,0,0,0,0,0,0
9/19/2013,7,1,0,3,1,5,0,0,0,2,0,5
9/20/2013,0,0,0,1,1,0,0,0,0,0,0,0
9/21/2013,0,0,0,0,0,0,0,0,0,0,0,1
9/22/2013,0,0,0,0,2,0,0,0,0,0,0,0
9/23/2013,0,0,0,2,0,1,0,0,0,1,0,0
9/24/2013,0,0,0,3,6,0,0,0,0,0,0,1
9/25/2013,0,1,0,0,2,1,0,0,0,0,0,1
9/26/2013,1,0,0,0,1,0,0,0,0,0,0,0
9/27/2013,0,1,0,0,0,1,0,0,0,1,0,1
9/28/2013,0,0,0,1,0,0,0,0,0,0,0,0
9/29/2013,0,1,0,0,1,1,0,0,0,0,0,0
9/30/2013,0,0,0,0,4,0,0,0,0,0,0,0
10/1/2013,0,0,1,0,1,0,0,0,0,0,0,1
10/2/2013,0,0,0,0,0,0,0,0,0,0,0,0
10/3/2013,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2013,0,0,0,0,1,0,0,0,0,0,0,2
10/5/2013,0,0,0,0,0,0,1,0,0,0,0,1
10/6/2013,0,0,0,1,2,0,0,0,0,0,0,0
10/7/2013,3,0,0,3,14,2,0,0,0,1,0,1
10/8/2013,0,0,0,0,0,0,0,0,0,1,0,0
10/9/2013,0,0,0,1,1,0,0,0,0,0,0,1
10/10/2013,1,0,0,2,0,1,0,0,0,0,0,0
10/11/2013,2,0,0,0,6,1,0,0,0,0,1,0
10/12/2013,0,0,0,0,0,0,0,0,0,1,0,0
10/13/2013,0,0,0,0,0,0,0,0,0,0,0,1
10/14/2013,0,0,0,0,1,0,0,0,0,1,0,0
10/15/2013,0,0,0,1,2,0,0,0,0,0,0,1
10/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2013,0,0,0,0,0,0,0,0,0,0,1,0
10/18/2013,0,0,0,0,2,0,0,0,0,0,0,0
10/19/2013,0,0,0,0,0,0,0,0,0,0,0,0
10/20/2013,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2013,0,0,0,0,1,0,0,0,0,1,0,1
10/22/2013,0,0,0,0,1,0,0,0,0,0,1,2
10/23/2013,0,0,0,0,0,0,0,0,0,0,1,0
10/24/2013,0,0,0,0,0,0,0,0,0,0,1,0
10/25/2013,0,0,0,0,1,0,1,0,0,0,1,1
10/26/2013,0,0,0,0,1,0,1,0,0,0,1,0
10/27/2013,0,0,0,0,0,0,0,0,0,0,0,0
10/28/2013,1,0,0,1,1,0,0,0,0,0,0,0
10/29/2013,0,0,1,0,1,0,0,0,0,1,0,0
10/30/2013,0,0,0,1,0,0,0,0,0,0,0,0
10/31/2013,0,0,0,0,1,1,0,0,0,0,0,1
11/1/2013,1,1,0,1,3,0,0,0,0,0,0,1
11/2/2013,0,0,0,1,0,0,0,0,0,0,0,0
11/3/2013,0,0,0,0,1,0,0,0,0,1,0,0
11/4/2013,0,0,0,3,2,0,0,0,0,0,0,1
11/5/2013,0,0,0,0,0,0,0,0,0,0,0,2
11/6/2013,0,0,0,1,2,0,0,0,0,1,0,1
11/7/2013,0,0,0,3,4,1,0,0,0,0,0,2
11/8/2013,0,0,0,0,2,0,0,0,0,0,0,0
11/9/2013,0,0,0,0,0,0,0,0,0,0,0,0
11/10/2013,0,0,0,1,1,0,0,0,0,0,0,0
11/11/2013,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2013,0,0,0,2,3,0,0,0,0,0,0,0
11/13/2013,0,0,0,0,1,0,0,0,0,0,0,0
11/14/2013,0,0,0,1,1,0,0,0,0,0,0,3
11/15/2013,1,0,0,0,0,0,0,0,0,0,0,0
11/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
11/17/2013,3,0,0,3,3,2,1,0,0,2,0,4
11/18/2013,0,0,0,2,1,0,0,0,0,0,0,2
11/19/2013,0,0,0,0,1,0,0,0,1,0,0,1
11/20/2013,0,0,0,0,0,0,0,0,0,0,0,2
11/21/2013,0,0,0,0,1,0,0,0,0,0,0,1
11/22/2013,0,0,1,1,1,1,0,0,0,0,0,2
11/23/2013,0,0,0,0,0,,0,0,0,0,0,1
11/24/2013,5,0,2,0,1,0,0,0,0,0,0,0
11/25/2013,3,1,2,0,0,0,0,0,0,0,0,1
11/26/2013,0,0,0,0,1,0,0,0,0,0,0,0
11/27/2013,1,0,0,0,2,0,0,0,0,0,0,0
11/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2013,0,0,0,0,1,0,0,0,0,0,0,0
11/30/2013,0,0,0,0,2,,0,0,0,0,0,0
12/1/2013,0,0,0,0,0,0,0,0,0,0,0,0
12/2/2013,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2013,0,0,0,0,1,0,0,0,0,1,0,1
12/4/2013,0,0,0,0,3,0,0,0,0,1,0,0
12/5/2013,6,0,1,10,26,1,0,0,4,3,0,4
12/6/2013,13,2,6,0,2,0,0,0,0,0,0,3
12/7/2013,6,2,4,1,1,,0,0,0,0,0,2
12/8/2013,2,9,3,7,2,0,0,0,1,1,0,3
12/9/2013,7,1,3,0,3,1,1,0,0,1,0,2
12/10/2013,9,6,2,6,27,2,0,2,1,4,0,9
12/11/2013,0,1,1,0,1,0,0,0,0,1,0,2
12/12/2013,0,0,0,0,0,1,0,0,0,0,0,1
12/13/2013,0,0,0,0,0,0,0,0,0,0,0,2
12/14/2013,5,5,0,5,7,,0,2,0,5,2,36
12/15/2013,0,2,0,1,0,0,0,0,0,0,1,3
12/16/2013,1,0,0,0,3,0,0,0,1,1,0,0
12/17/2013,1,1,1,2,14,1,0,1,0,3,0,2
12/18/2013,0,1,0,0,0,0,0,0,0,0,0,1
12/19/2013,0,0,0,0,0,0,1,0,0,0,0,0
12/20/2013,0,0,0,3,0,0,0,1,0,0,0,1
12/21/2013,0,0,0,0,0,,0,0,0,0,0,0
12/22/2013,0,0,1,0,3,1,0,0,0,0,0,2
12/23/2013,0,0,0,3,3,1,1,0,1,0,0,0
12/24/2013,1,0,0,1,1,0,1,0,2,0,0,1
12/25/2013,0,0,0,2,2,0,0,0,1,0,0,1
12/26/2013,0,0,0,2,0,0,0,0,0,0,0,0
12/27/2013,0,0,0,0,1,0,0,0,0,0,0,0
12/28/2013,0,0,0,1,0,,0,0,0,0,0,0
12/29/2013,0,1,0,0,2,0,0,0,0,0,0,1
12/30/2013,1,0,0,0,1,0,0,0,0,0,0,5
12/31/2013,0,0,0,0,1,0,0,0,0,0,0,6
1/1/2014,2,0,0,0,3,2,0,0,0,0,0,9
1/2/2014,20,12,4,6,25,2,5,2,17,6,7,42
1/3/2014,13,13,3,17,27,3,39,2,15,2,0,50
1/4/2014,0,3,0,1,0,,8,0,2,2,0,16
1/5/2014,3,1,0,4,16,1,2,4,19,2,1,22
1/6/2014,12,1,0,7,22,3,6,0,5,4,2,12
1/7/2014,6,0,1,7,12,2,1,0,2,3,0,17
1/8/2014,1,0,0,2,6,0,0,0,0,0,0,5
1/9/2014,1,1,0,0,1,1,0,0,0,0,0,0
1/10/2014,4,0,0,0,3,1,0,0,2,0,0,1
1/11/2014,1,2,0,18,0,,0,0,0,1,0,1
1/12/2014,1,1,1,1,2,0,0,0,0,0,0,1
1/13/2014,1,0,0,0,2,0,0,0,0,0,0,0
1/14/2014,1,1,1,1,0,0,0,0,0,0,0,0
1/15/2014,0,0,0,6,1,0,0,0,0,0,0,0
1/16/2014,1,0,0,0,7,0,0,0,0,0,0,1
1/17/2014,0,1,0,0,0,1,0,0,0,0,0,0
1/18/2014,0,0,0,0,0,,0,0,0,0,0,0
1/19/2014,1,1,0,0,1,0,0,0,0,0,0,1
1/20/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2014,35,29,9,16,38,1,22,6,46,19,11,47
1/22/2014,7,4,0,9,34,1,5,0,13,0,0,17
1/23/2014,0,0,0,1,8,0,0,0,0,0,0,1
1/24/2014,4,1,1,1,0,0,0,0,0,1,0,3
1/25/2014,0,0,0,2,1,,0,0,0,0,0,1
1/26/2014,0,0,0,0,4,0,0,0,0,0,1,0
1/27/2014,0,0,0,0,5,0,0,0,1,2,0,1
1/28/2014,2,1,0,1,9,2,3,6,10,4,0,1
1/29/2014,1,0,0,2,7,0,1,9,10,0,0,1
1/30/2014,0,1,0,0,10,0,4,5,7,0,0,3
1/31/2014,0,1,0,0,2,0,0,3,8,0,0,4
2/1/2014,0,0,0,1,0,,0,0,1,0,0,2
2/2/2014,6,0,1,3,5,0,0,0,0,0,0,0
2/3/2014,9,5,2,17,36,1,10,5,19,11,1,45
2/4/2014,15,17,3,3,7,0,21,3,12,8,9,30
2/5/2014,23,13,3,13,34,2,4,2,19,3,0,38
2/6/2014,2,0,2,2,10,0,0,0,0,0,0,3
2/7/2014,1,0,1,0,1,1,0,0,0,0,0,2
2/8/2014,0,0,1,0,1,,0,0,0,0,0,1
2/9/2014,1,0,0,0,2,0,0,0,0,0,0,1
2/10/2014,2,0,1,0,4,0,3,0,0,1,0,0
2/11/2014,8,0,2,0,3,0,1,2,3,0,0,0
2/12/2014,8,6,2,3,25,0,5,10,18,10,10,39
2/13/2014,18,10,3,14,45,2,16,8,34,17,4,68
2/14/2014,1,4,0,3,9,0,4,0,2,2,2,20
2/15/2014,1,1,0,4,0,,0,0,0,1,0,5
2/16/2014,0,0,1,0,0,0,0,0,0,0,0,5
2/17/2014,3,0,0,0,3,1,0,0,0,2,0,3
2/18/2014,2,0,0,0,7,0,0,0,2,1,0,1
2/19/2014,0,0,0,1,1,0,0,0,0,0,0,0
2/20/2014,1,0,0,0,5,0,0,0,0,1,0,1
2/21/2014,5,1,2,14,28,0,2,2,14,2,0,2
2/22/2014,1,0,0,1,1,,2,0,0,0,0,1
2/23/2014,0,0,0,1,0,0,0,0,0,0,0,1
2/24/2014,0,0,0,1,1,0,0,0,0,2,0,1
2/25/2014,0,0,0,2,3,0,0,0,0,0,0,3
2/26/2014,4,0,2,2,1,0,0,0,3,0,1,3
2/27/2014,1,0,0,0,0,0,0,0,0,0,0,0
2/28/2014,2,2,1,0,1,0,0,0,0,0,0,1
3/1/2014,0,0,0,0,1,,0,0,0,0,0,1
3/2/2014,18,12,4,3,9,0,0,0,0,4,2,7
3/3/2014,8,4,2,8,23,2,0,0,0,1,0,1
3/4/2014,0,0,1,0,5,0,0,0,0,1,0,2
3/5/2014,0,0,0,0,1,0,0,0,0,0,0,0
3/6/2014,2,0,0,0,1,0,0,0,0,1,0,4
3/7/2014,1,0,0,0,0,0,0,0,0,1,0,1
3/8/2014,0,0,0,1,0,,0,0,0,0,0,0
3/9/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/10/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2014,0,0,1,1,0,0,0,0,0,0,0,0
3/12/2014,3,0,0,2,2,0,0,0,0,2,0,3
3/13/2014,0,0,0,3,8,0,0,0,0,1,1,3
3/14/2014,0,0,0,0,3,0,0,0,0,1,0,2
3/15/2014,0,0,0,1,0,,0,0,0,1,1,0
3/16/2014,0,0,0,0,1,0,0,0,0,0,0,0
3/17/2014,0,0,0,4,0,0,0,0,0,0,0,0
3/18/2014,0,0,0,1,2,0,0,0,0,0,1,1
3/19/2014,0,0,0,4,0,0,0,0,0,0,0,0
3/20/2014,1,0,0,1,0,0,0,0,0,0,0,1
3/21/2014,0,0,1,0,0,0,0,0,0,0,0,2
3/22/2014,0,0,0,0,0,,0,0,0,0,0,1
3/23/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/24/2014,0,0,0,0,0,0,0,0,0,0,0,1
3/25/2014,1,0,0,2,1,0,0,0,0,0,0,1
3/26/2014,0,0,0,1,1,0,0,0,0,0,0,1
3/27/2014,0,1,0,0,1,0,0,0,0,1,0,2
3/28/2014,1,0,1,3,1,0,0,0,0,0,0,0
3/29/2014,0,0,0,1,0,,0,0,0,0,0,1
3/30/2014,0,1,0,6,4,0,0,0,0,0,0,0
3/31/2014,1,0,0,0,8,0,0,0,0,0,0,0
4/1/2014,0,0,0,1,0,0,0,0,0,0,0,0
4/2/2014,0,0,0,0,0,0,0,0,0,0,0,1
4/3/2014,0,0,0,0,1,0,0,0,0,1,0,0
4/4/2014,1,0,1,0,5,0,1,0,0,0,0,0
4/5/2014,0,0,0,0,1,,1,0,0,0,0,0
4/6/2014,1,1,0,0,2,0,0,0,0,0,0,1
4/7/2014,0,0,0,2,1,1,0,0,0,0,0,4
4/8/2014,0,0,0,1,0,0,0,0,0,0,0,2
4/9/2014,0,0,0,0,1,0,0,0,0,0,0,0
4/10/2014,0,0,0,1,0,0,0,0,0,0,0,2
4/11/2014,1,0,0,0,0,0,0,0,0,0,0,1
4/12/2014,0,0,0,0,0,,0,0,0,0,0,0
4/13/2014,0,0,0,0,2,0,0,0,0,0,0,0
4/14/2014,0,0,0,0,1,1,0,0,0,0,0,0
4/15/2014,0,0,0,15,21,1,0,0,0,0,0,3
4/16/2014,0,0,0,2,3,0,0,0,0,0,0,0
4/17/2014,0,0,0,0,0,0,0,0,0,0,0,0
4/18/2014,0,0,0,0,0,0,0,0,0,0,0,1
4/19/2014,0,0,0,0,0,,0,0,0,0,0,1
4/20/2014,0,0,0,0,1,0,0,0,0,0,0,0
4/21/2014,0,0,0,0,0,0,0,0,0,0,0,0
4/22/2014,0,0,0,0,1,0,0,0,0,0,0,0
4/23/2014,0,0,0,0,1,0,0,0,0,0,0,0
4/24/2014,0,0,0,1,3,0,0,0,0,1,0,0
4/25/2014,0,0,0,0,0,0,0,0,0,0,1,2
4/26/2014,0,0,0,0,0,,0,0,0,0,0,0
4/27/2014,0,0,0,2,0,1,0,0,0,0,0,1
4/28/2014,0,0,0,0,8,0,0,0,0,0,0,0
4/29/2014,2,0,0,4,7,1,0,0,0,1,0,2
4/30/2014,1,0,0,2,7,1,0,0,0,0,0,4
5/1/2014,0,0,0,2,8,0,0,0,0,0,0,1
5/2/2014,0,0,0,0,2,0,0,0,0,0,0,1
5/3/2014,0,0,0,0,0,,0,0,0,0,0,0
5/4/2014,0,0,0,0,0,1,0,0,0,0,0,1
5/5/2014,0,0,0,0,0,1,0,1,0,0,0,1
5/6/2014,1,0,0,0,0,0,0,0,0,0,0,4
5/7/2014,0,0,0,0,0,0,1,0,0,0,1,2
5/8/2014,2,0,2,0,2,,0,2,9,0,0,0
5/9/2014,2,0,0,0,6,,0,0,0,0,0,0
5/10/2014,0,1,0,2,1,,0,0,0,0,0,0
5/11/2014,1,1,1,0,2,,0,0,0,0,0,1
5/12/2014,4,1,2,0,5,,0,0,1,1,0,1
5/13/2014,7,1,0,2,1,,0,0,1,2,0,9
5/14/2014,0,1,1,0,1,,0,0,0,2,0,0
5/15/2014,2,0,0,4,5,,0,0,1,0,1,2
5/16/2014,2,1,0,1,14,,0,0,0,1,0,1
5/17/2014,1,2,0,0,1,,0,0,0,0,0,0
5/18/2014,0,0,0,0,0,,0,0,0,0,0,0
5/19/2014,0,1,0,0,0,,0,0,0,0,0,0
5/20/2014,0,0,0,0,1,,0,0,0,0,0,0
5/21/2014,0,0,0,0,0,,0,0,0,0,0,1
5/22/2014,0,1,0,7,14,,0,0,0,0,0,2
5/23/2014,0,0,0,1,15,,0,0,0,2,0,1
5/24/2014,0,0,0,0,0,,0,0,0,0,0,0
5/25/2014,1,0,0,0,1,,0,0,0,0,0,0
5/26/2014,0,0,0,0,0,,0,0,0,1,0,1
5/27/2014,1,0,0,1,7,,0,0,0,2,0,2
5/28/2014,1,0,0,1,7,,0,0,0,0,0,2
5/29/2014,0,0,0,0,0,,0,0,0,0,0,1
5/30/2014,0,0,0,0,1,,0,0,0,0,0,2
5/31/2014,0,0,0,0,0,,0,0,0,0,0,0
6/1/2014,0,0,0,0,1,,0,0,0,0,0,1
6/2/2014,0,0,0,0,0,,0,0,0,0,0,1
6/3/2014,0,0,0,1,7,,0,0,0,0,0,0
6/4/2014,0,0,0,1,2,,0,0,0,0,0,1
6/5/2014,0,0,0,2,2,,0,0,0,0,0,1
6/6/2014,0,0,0,0,0,,0,0,0,1,0,0
6/7/2014,0,0,0,1,0,,0,0,0,0,0,1
6/8/2014,0,1,0,0,1,,1,0,0,0,0,1
6/9/2014,0,0,0,0,4,,0,0,0,2,0,4
6/10/2014,2,0,0,0,4,,0,0,0,2,0,0
6/11/2014,1,0,0,6,12,,0,0,0,2,0,4
6/12/2014,3,0,1,0,12,,0,0,0,1,0,2
6/13/2014,8,2,1,8,30,,0,1,3,3,0,4
6/14/2014,1,0,0,0,2,,0,0,0,0,0,3
6/15/2014,0,0,0,0,0,,0,0,0,0,0,0
6/16/2014,0,0,0,0,1,,0,0,0,0,0,1
6/17/2014,0,0,0,0,0,,0,0,0,0,0,0
6/18/2014,3,0,0,0,1,,0,0,0,3,0,4
6/19/2014,2,4,1,0,5,,0,0,0,0,0,3
6/20/2014,2,0,0,0,1,,0,0,0,0,0,2
6/21/2014,1,2,0,1,2,,0,0,0,0,0,0
6/22/2014,1,0,1,0,2,,0,0,0,1,0,0
6/23/2014,0,0,0,0,0,,0,0,0,0,0,1
6/24/2014,0,0,1,0,0,,0,0,0,1,0,1
6/25/2014,1,1,0,2,10,,0,0,0,0,1,4
6/26/2014,1,1,0,1,4,,0,0,0,0,0,1
6/27/2014,0,0,0,1,0,,0,0,0,1,0,0
6/28/2014,0,0,0,0,0,,0,0,0,0,0,0
6/29/2014,0,0,0,1,2,,0,0,0,0,1,1
6/30/2014,3,1,0,0,2,,0,0,0,3,0,2
7/1/2014,0,0,0,1,5,,0,0,0,0,0,6
7/2/2014,10,3,1,10,22,,1,0,3,2,0,6
7/3/2014,12,8,2,12,22,,4,3,14,8,0,20
7/4/2014,0,1,0,0,8,,0,0,0,0,0,6
7/5/2014,0,0,0,0,0,,0,0,0,0,0,0
7/6/2014,0,0,0,1,0,,0,0,0,0,0,1
7/7/2014,0,1,0,1,3,,0,0,0,1,0,3
7/8/2014,1,0,0,2,11,,0,0,0,2,0,7
7/9/2014,0,0,0,3,3,,0,0,0,0,0,1
7/10/2014,1,1,0,1,0,,0,0,0,1,1,3
7/11/2014,0,0,0,1,0,,0,0,0,0,0,0
7/12/2014,0,0,0,1,0,,0,0,0,2,0,0
7/13/2014,0,0,1,1,2,,0,0,0,0,0,4
7/14/2014,2,2,1,3,17,,1,0,1,3,0,10
7/15/2014,4,8,1,9,28,,7,0,1,3,1,11
7/16/2014,0,2,0,1,5,,0,0,0,1,0,1
7/17/2014,1,0,1,0,2,,0,0,0,0,0,1
7/18/2014,0,0,0,0,3,,0,0,0,0,0,1
7/19/2014,0,0,0,0,1,,0,0,0,0,0,0
7/20/2014,0,0,0,0,0,,0,0,0,0,0,0
7/21/2014,0,0,0,0,0,,0,0,0,1,0,1
7/22/2014,0,0,0,1,2,,0,0,0,0,1,2
7/23/2014,2,0,0,2,16,,0,0,0,1,0,1
7/24/2014,0,0,1,0,5,,0,0,0,1,0,2
7/25/2014,0,0,0,0,2,,0,0,0,0,0,1
7/26/2014,0,0,1,0,0,,0,0,0,0,0,0
7/27/2014,0,0,0,1,4,,0,0,0,0,0,1
7/28/2014,0,0,0,1,0,,0,0,0,1,0,0
7/29/2014,0,0,1,0,2,,0,0,0,0,0,2
7/30/2014,0,0,0,0,9,,0,0,0,0,0,2
7/31/2014,0,1,0,0,4,,0,0,0,1,0,1
8/1/2014,0,0,0,5,11,,0,0,0,1,1,3
8/2/2014,0,0,0,0,1,,0,0,0,1,0,0
8/3/2014,1,0,0,0,2,,0,0,0,0,0,0
8/4/2014,1,0,0,0,7,,0,0,0,0,0,4
8/5/2014,0,0,0,0,1,,0,0,0,0,0,0
8/6/2014,0,0,0,0,3,,0,0,1,0,0,1
